did,dname,dtype,address
1,Central,tech,liverpool
2,Central,toys,liverpool
3,Central,food,liverpool
4,Central,tech,everton
5,Central,toys,everton
6,Central,food,everton
7,Central,tech,NULL
8,Central,toys,NULL
9,Central,food,NULL
10,tesco,tech,liverpool
11,tesco,toys,liverpool
12,tesco,food,liverpool
13,tesco,tech,everton
14,tesco,toys,everton
15,tesco,food,everton
16,tesco,tech,NULL
17,tesco,toys,NULL
18,tesco,food,NULL
19,tkmax,tech,liverpool
20,tkmax,toys,liverpool
21,tkmax,food,liverpool
22,tkmax,tech,everton
23,tkmax,toys,everton
24,tkmax,food,everton
25,tkmax,tech,NULL
26,tkmax,toys,NULL
27,tkmax,food,NULL
28,robinson,tech,liverpool
29,robinson,toys,liverpool
30,robinson,food,liverpool
31,robinson,tech,everton
32,robinson,toys,everton
33,robinson,food,everton
34,robinson,tech,NULL
35,robinson,toys,NULL
36,robinson,food,NULL
